id;pais;estado;cidade;bairro;numero_residencia;logradouro;complemento
1;Towels Grocery;Borders;Gambia;Specialist green;19755;Lodge scalable;Auto Handcrafted end-to-end
2;Metal Car SMS;redefine National;Computers synthesize Finland;Soft;82797;discrete redundant;B2C gold
3;Liaison;Electronics Web;Jewelery Rupee;transition Florida mesh;44075;Intranet;middleware Alabama
4;Health Checking magenta;bandwidth bifurcated;overriding synthesizing;Fiji directional;68645;channels expedite Garden;Gorgeous schemas Fish
5;out-of-the-box;Fresh;Officer;redundant Enterprise-wide;7191;Tactics Naira complexity;groupware Pants
6;Loan Gorgeous;Gold Customer-focused;Viaduct;Borders Visionary markets;26376;Senegal Account;calculate Lempira Avon
7;primary SAS;B2C Tasty aggregate;extend Views Orchard;bluetooth index Path;85133;Research;Generic withdrawal
8;foreground Plastic;mobile;bandwidth Malaysian;Optimization generate;59810;Avon iterate;Marketing interfaces
9;Barbados;Kids Ergonomic;relationships Switchable;Soap Haven Card;98728;application functionalities purple;HTTP invoice
10;SCSI Route;neural-net;neural Solutions;facilitate;66285;AGP;Granite Intelligent
